"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Amount","FlagCodes"
"CHL","HEALTHEXP","TOT","USD_CAP","A","2020",2417.384,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2021",2677.127,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2022",2699.394,"P"
"EST","HEALTHEXP","TOT","USD_CAP","A","2020",2731.011,
"EST","HEALTHEXP","TOT","USD_CAP","A","2021",3073.593,
"EST","HEALTHEXP","TOT","USD_CAP","A","2022",3102.516,"P"
"ISR","HEALTHEXP","TOT","USD_CAP","A","2020",2875.281,"P"
"ISR","HEALTHEXP","TOT","USD_CAP","A","2021",3258.018,
"ISR","HEALTHEXP","TOT","USD_CAP","A","2022",3444.392,"E"
"SVN","HEALTHEXP","TOT","USD_CAP","A","2020",3474.147,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2021",3884.819,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2022",4113.818,"P"
"BRA","HEALTHEXP","TOT","USD_CAP","A","2020",1572.708,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2020",978.788,
"COL","HEALTHEXP","TOT","USD_CAP","A","2020",1293.223,
"COL","HEALTHEXP","TOT","USD_CAP","A","2021",1532.348,
"COL","HEALTHEXP","TOT","USD_CAP","A","2022",1639.872,"E"
"IND","HEALTHEXP","TOT","USD_CAP","A","2020",211.953,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2020",404.965,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2020",2227.896,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2021",3121.643,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2022",3445.296,"E"
"LTU","HEALTHEXP","TOT","USD_CAP","A","2020",2878.482,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2021",3336.477,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2022",3587.327,"P"
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2020",1183.846,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2020",1617.823,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2021",1670.558,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2022",1658.141,"E"
"BGR","HEALTHEXP","TOT","USD_CAP","A","2020",2122.982,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2021",2479.297,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2020",2158.935,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2021",2605.581,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2020",3120.853,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2021",3860.134,"P"
"MLT","HEALTHEXP","TOT","USD_CAP","A","2020",4315.813,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2020",2051.588,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2021",2384.52,
"ARG","HEALTHEXP","TOT","USD_CAP","A","2020",2169.661,
"PER","HEALTHEXP","TOT","USD_CAP","A","2020",759.475,
