"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Amount","FlagCodes"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2019",4610.794,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2020",4619.518,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2021",4899.088,"P"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2022",5250.603,"E"
"KOR","HEALTHEXP","TOT","USD_CAP","A","2019",3290.825,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2020",3590.183,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2021",4189.091,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2022",4569.508,"P"
"LUX","HEALTHEXP","TOT","USD_CAP","A","2019",5379.663,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2020",5652.538,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2021",6273.571,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2022",6436.062,"P"
"MEX","HEALTHEXP","TOT","USD_CAP","A","2019",1117.235,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2020",1226.606,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2021",1262.436,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2022",1181.041,"E"
"NLD","HEALTHEXP","TOT","USD_CAP","A","2019",5643.59,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2020",6192.982,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2021",6739.052,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2022",6729.134,"P"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2019",4249.593,"E"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2020",4469.383,"E"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2021",4921.245,"E"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2022",6060.93,"E"
"NOR","HEALTHEXP","TOT","USD_CAP","A","2019",6476.378,
"NOR","HEALTHEXP","TOT","USD_CAP","A","2020",6581.629,
"NOR","HEALTHEXP","TOT","USD_CAP","A","2021",7042.618,"P"
"NOR","HEALTHEXP","TOT","USD_CAP","A","2022",7771.165,"E"
"POL","HEALTHEXP","TOT","USD_CAP","A","2019",2232.347,
"POL","HEALTHEXP","TOT","USD_CAP","A","2020",2286.109,
"POL","HEALTHEXP","TOT","USD_CAP","A","2021",2522.435,
"POL","HEALTHEXP","TOT","USD_CAP","A","2022",2972.962,"P"
"PRT","HEALTHEXP","TOT","USD_CAP","A","2019",3223.676,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2020",3354.909,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2021",3829.76,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2022",4162.088,"P"
"SVK","HEALTHEXP","TOT","USD_CAP","A","2019",2115.452,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2020",2125.666,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2021",2521.59,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2022",2755.944,"E"
"ESP","HEALTHEXP","TOT","USD_CAP","A","2019",3528.382,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2020",3715.968,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2021",4086.783,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2022",4431.858,"E"
"SWE","HEALTHEXP","TOT","USD_CAP","A","2019",5387.733,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2020",5733.534,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2021",6227.612,"P"
"SWE","HEALTHEXP","TOT","USD_CAP","A","2022",6437.692,"P"
"CHE","HEALTHEXP","TOT","USD_CAP","A","2019",6708.349,
"CHE","HEALTHEXP","TOT","USD_CAP","A","2020",7022.378,
"CHE","HEALTHEXP","TOT","USD_CAP","A","2021",7582.184,
"CHE","HEALTHEXP","TOT","USD_CAP","A","2022",8049.11,"E"
"TUR","HEALTHEXP","TOT","USD_CAP","A","2019",1231.634,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2020",1304.709,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2021",1559.535,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2022",1827.482,"E"
"GBR","HEALTHEXP","TOT","USD_CAP","A","2019",4389.038,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2020",4997.928,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2021",5466.568,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2022",5492.642,"P"
"USA","HEALTHEXP","TOT","USD_CAP","A","2019",10852.838,
"USA","HEALTHEXP","TOT","USD_CAP","A","2020",11915.945,
"USA","HEALTHEXP","TOT","USD_CAP","A","2021",12196.966,
"USA","HEALTHEXP","TOT","USD_CAP","A","2022",12555.264,"E"
"CHL","HEALTHEXP","TOT","USD_CAP","A","2019",2296.988,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2020",2417.384,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2021",2677.127,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2022",2699.394,"P"
"EST","HEALTHEXP","TOT","USD_CAP","A","2019",2453.074,
"EST","HEALTHEXP","TOT","USD_CAP","A","2020",2731.011,
"EST","HEALTHEXP","TOT","USD_CAP","A","2021",3073.593,
"EST","HEALTHEXP","TOT","USD_CAP","A","2022",3102.516,"P"
"ISR","HEALTHEXP","TOT","USD_CAP","A","2019",2709.984,
"ISR","HEALTHEXP","TOT","USD_CAP","A","2020",2875.281,"P"
"ISR","HEALTHEXP","TOT","USD_CAP","A","2021",3258.018,
"ISR","HEALTHEXP","TOT","USD_CAP","A","2022",3444.392,"E"
"SVN","HEALTHEXP","TOT","USD_CAP","A","2019",3221.895,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2020",3474.147,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2021",3884.819,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2022",4113.818,"P"
"BRA","HEALTHEXP","TOT","USD_CAP","A","2019",1497.734,
"BRA","HEALTHEXP","TOT","USD_CAP","A","2020",1572.708,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2019",901.854,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2020",978.788,
"COL","HEALTHEXP","TOT","USD_CAP","A","2019",1239.66,
"COL","HEALTHEXP","TOT","USD_CAP","A","2020",1293.223,
"COL","HEALTHEXP","TOT","USD_CAP","A","2021",1532.348,
"COL","HEALTHEXP","TOT","USD_CAP","A","2022",1639.872,"E"
"IND","HEALTHEXP","TOT","USD_CAP","A","2019",219.575,
"IND","HEALTHEXP","TOT","USD_CAP","A","2020",211.953,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2019",356.262,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2020",404.965,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2019",2025.57,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2020",2227.896,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2021",3121.643,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2022",3445.296,"E"
"LTU","HEALTHEXP","TOT","USD_CAP","A","2019",2682.067,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2020",2878.482,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2021",3336.477,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2022",3587.327,"P"
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2019",1222.202,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2020",1183.846,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2019",1556.168,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2020",1617.823,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2021",1670.558,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2022",1658.141,"E"
"BGR","HEALTHEXP","TOT","USD_CAP","A","2019",1795.621,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2020",2122.982,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2021",2479.297,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2019",2043.652,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2020",2158.935,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2021",2605.581,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2019",2783.252,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2020",3120.853,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2021",3860.134,"P"
"MLT","HEALTHEXP","TOT","USD_CAP","A","2019",4154.13,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2020",4315.813,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2019",1844.269,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2020",2051.588,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2021",2384.52,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3685.634,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4093.631,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4587.565,"E"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",4602.889,"E"
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1441.019,
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1598.771,
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1637.971,"E"
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1769.138,"E"
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4222.821,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4504.759,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5241.151,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",5663.7,"P"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1402.62,"D"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1358.905,"D"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1448.942,"D"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1611.654,"P"
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4081.614,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4292.961,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4674.031,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",5057.595,"E"
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1342.062,
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1216.093,
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1348.222,
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1542.386,"E"
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3630.292,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4332.676,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4577.51,"P"
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",4506.145,"P"
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1592.351,
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1546.399,
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1699.993,"P"
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1812.893,"P"
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2780.961,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",3336.273,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",3718.546,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",3872.158,"E"
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",491.263,
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",467.829,
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",584.434,
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",640.004,"E"
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4486.639,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4828.686,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5429.407,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",5324.07,"P"
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",873.137,
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",868.507,
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",942.667,
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",955.737,"P"
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3413.665,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",3648.239,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4189.524,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",4476.218,"E"
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",969.969,
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",966.32,
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1061.979,
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1122.673,"E"
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4314.384,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4624.228,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5177.946,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",5622.288,"E"
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",849.037,
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",828.954,
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",927.661,
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1007.268,"E"
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",5389.886,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",5910.842,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",6424.421,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",6929.641,"P"
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1028.452,
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1035.066,
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1093.731,
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1081.294,"P"
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1445.289,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1537.205,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",1699.982,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",1785.425,"E"
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",901.188,
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",945.123,
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1032.836,
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1229.825,"E"
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1438.796,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1714.458,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",1991.498,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",2054.945,"P"
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",656.39,
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",707.349,
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",757.186,
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",785.156,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3575.387,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",3859.854,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4272.537,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",4425.111,"P"
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",742.882,
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",772.429,
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",834.004,
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",888.999,"P"
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3694.715,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4196.834,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4536.042,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",4677.63,"P"
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1281.414,
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1181.35,
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1324.697,
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1368.918,"P"
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2629.244,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2849.558,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",3050.576,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",3254.559,"P"
"ITA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",936.08,
"ITA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",903.53,
"ITA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",991.982,
"ITA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1036.129,"P"
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3871.405,
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",3920.04,
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4197.896,"P"
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",4491.127,"E"
"JPN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",739.389,
"JPN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",699.478,
"JPN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",701.192,"P"
"JPN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",759.476,"E"
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1954.558,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2203.112,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2610.402,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",2864.77,"P"
"KOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1336.267,
"KOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1387.07,
"KOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1578.689,
"KOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1704.738,"P"
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4570.573,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4889.043,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5397.426,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",5526.961,"P"
"LUX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",737.466,
"LUX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",693.499,
"LUX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",803.022,
"LUX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",835.017,"P"
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",549.314,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",648.91,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",633.856,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",626.225,"E"
"MEX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",567.921,
"MEX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",577.696,
"MEX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",628.581,
"MEX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",554.816,"E"
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4672.953,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",5260.757,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5721.767,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",5672.127,"P"
"NLD","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",970.637,
"NLD","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",932.225,
"NLD","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1017.355,
"NLD","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1057.007,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3384.117,"E"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",3579.892,"E"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",3952.711,"E"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",4968.721,"E"
"NZL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",865.477,"E"
"NZL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",889.49,"E"
"NZL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",968.533,"E"
"NZL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1092.209,"E"
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",5551.351,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",5641.604,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",6025.543,"P"
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",6636.701,"E"
"NOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",925.027,
"NOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",940.025,
"NOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1017.075,"P"
"NOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",1134.463,"E"
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1602.31,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1652.078,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",1827.855,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",2226.635,"P"
"POL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",630.037,
"POL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",634.031,
"POL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",694.581,
"POL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2022",746.327,"P"
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1961.577,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2157.113,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2420.692,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",2640.476,"P"
